"","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K10408",4.62127647838968,4.30728029230473,4.96704932106271,4.31744355023809,4.7173929233185,4.44990772926082,3.79721137023893,3.44194019023045
"K15423",7.87572409017952,7.4924930020344,7.72205678709977,7.74992388297934,7.95319714814525,8.05174983238222,6.84044484715686,6.75562289058224
"K03695",6.03295454129608,6.25483195851776,5.27468703630753,5.39226773642056,4.81315374692772,5.55294904593214,4.94098384720806,5.28272432523905
"K07374",8.54231010291307,8.38616569416855,8.84345136978419,8.74645845203414,8.47182828439303,8.97356316802179,7.73238082583529,7.62088798363224
"K22366",4.95719833690208,4.59858541961818,4.06438387231466,3.70378964137559,4.22388857893963,3.70098503283656,3.48898178142677,4.29118429764356
"K08856",5.00519531173046,5.23091354412197,6.51724883956691,5.93208335466937,5.79448515620543,6.11146659341493,6.17026796406114,5.83486942340325
"K03017",5.31717866564395,5.47474931081827,6.10700408776224,6.59805120509701,6.17286606883388,6.33953869453939,5.32690513878466,5.62252141779386
"K02152",6.8797093652089,6.42514194866583,6.88746726345917,6.74222879056896,6.96451525404863,6.58727288884638,5.66887470956941,5.83486942340325
"K12837",5.50651829443263,5.15205964657426,4.45412670568623,5.26587545116269,5.50496935924964,4.96160424265771,5.75260847223737,6.0581024520543
"K06119",5.18086869524465,4.82985473806213,5.03477943913509,4.68854469528905,4.7662326969514,5.11813454237136,5.66887470956941,6.13339128091005
"K05724",6.79286637116535,6.39268255761091,5.37991687335562,5.80464761754199,5.70462511278713,5.38370900035812,6.20003227325104,5.97852714369297
"K12494",6.79286637116535,6.39268255761091,5.37991687335562,5.80464761754199,5.70462511278713,5.38370900035812,6.20003227325104,5.97852714369297
"K03020",4.23739265122051,3.54438689110964,4.21234717552777,4.31744355023809,4.37022712531191,4.15258589860193,4.97799104862497,5.11276871592922
"K02367",4.58843731509713,4.01511494273611,3.06069622824735,3.96294079341465,4.43624254226624,3.70098503283656,4.43394720022502,4.05265482807413
"K02370",4.58843731509713,4.01511494273611,3.06069622824735,3.96294079341465,4.43624254226624,3.70098503283656,4.43394720022502,4.05265482807413
"K04482",5.13915336653364,5.40952167162732,4.73828182606615,5.75941688535165,5.39287154009977,5.11813454237136,4.54433216078526,4.29118429764356
"K14303",5.13915336653364,5.40952167162732,4.73828182606615,5.75941688535165,5.39287154009977,5.11813454237136,4.54433216078526,4.29118429764356
