"","ko_id","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"4113","K00476",6.4820013811683,6.33439848965086,6.46315036897825,6.19854653484571,6.31522429231471,6.64064789228396,6.37300052917515,6.45562291694041,6.44018710023623
"4114","K12829",6.89752539540429,7.04981657489231,7.19432305481229,6.77655557761429,6.96789440831848,6.92561444531759,7.05396669503455,6.94771386890073,7.1109412840668
"4115","K10080",6.46329759900303,6.48832767153773,6.46315036897825,6.54765101534206,6.53829271990043,6.45446023500293,6.64637395216877,6.82531255373515,6.44018710023623
"4116","K12175",5.94484738974925,5.84252863979227,6.01576111355785,6.10194923484668,6.11630290510938,5.98582082555328,6.23015447378049,6.20867468375805,6.0744110741186
"4117","K17970",4.38683984547031,4.69705718471015,4.80762406048475,4.613581984408,4.53228856713042,4.65193535729147,4.67199477189587,4.58560051707588,4.75084093293581
"4118","K03011",5.41583837418738,5.45310892398052,5.72241312259111,5.41063819065013,5.63021944849611,5.51418020980596,5.37617821874344,5.36311881843599,5.394704784104
"4119","K13457",5.41583837418738,5.45310892398052,5.72241312259111,5.41063819065013,5.63021944849611,5.51418020980596,5.37617821874344,5.36311881843599,5.394704784104
"4120","K11824",7.16225130081815,7.12792101118434,7.50186511556258,7.21269736276954,7.17985262894812,7.1629168943049,7.34795891507676,7.32904465289737,7.34662771081069
"4121","K12603",7.92811846952794,8.14767183431032,8.32263948460731,8.08014281468255,8.20067186991514,8.15895735572423,8.07641850718908,8.01123020539451,7.95991251347363
"4122","K01090",7.43388977312875,7.4715867171366,7.50186511556258,7.58494305474765,7.82728996321037,7.66689144818724,7.49914011301896,7.66901508976763,7.5489421478297
"4123","K07441",5.41583837418738,5.45310892398052,5.72241312259111,5.4245129201309,5.64344994231963,5.53290320692976,5.40730067588451,5.36311881843599,5.394704784104
"4124","K13100",8.69431540739931,8.85718541922513,8.60564891960646,8.5546158152419,8.53996152626013,8.53162316330247,8.74461497819993,8.6648714546798,8.83360021170269
"4125","K20367",7.94154516073149,8.05779426991723,7.90185807978721,8.14303768247792,8.14143456913271,8.10328950633469,8.17789953175813,8.29997745065222,8.02025425301476
"4126","K18763",4.5709792920049,4.69705718471015,4.80762406048475,4.74277750584899,4.6283180375815,4.72680635461652,4.7806325506996,4.82092822753692,4.44635669290082
"4127","K00010",7.29405178712587,7.16130818131956,6.94504651453381,7.04365809280563,7.10804251061567,7.10419413861258,7.01616337773768,6.96888011513614,6.89483166576461
"4128","K07095",5.28768852084279,5.13313064265057,5.34612319466355,5.3824329067883,5.28194840643893,5.49518582388831,5.09507934526149,5.25756047489144,5.23012938889262
"4129","K15085",6.72072989231893,6.74235991187034,6.64263648672879,6.43410244745966,6.57895529692361,6.46390717674721,6.5957771602521,6.42510591804017,6.68569039733252
"4130","K06699",6.07518819680517,6.02050039909347,6.01576111355785,5.84612350296188,5.79277994531575,5.99903432012478,5.8252615636946,5.83922284974358,6.12013830871928
"4131","K17278",5.77001731230328,5.86348891120084,5.72241312259111,5.73082497197939,5.8161337168379,5.8012975916725,5.63266132723514,5.52180118854646,5.54059239432406
"4132","K18584",6.09983897400103,6.17805181417239,6.25733923245012,6.42090078398405,6.40118691820398,6.31505612048126,6.12607705083673,6.3293573778915,6.14244735462138
"4133","K13336",5.2419298506137,5.09611996401737,5.34612319466355,5.1820807288462,5.05357474864559,5.31041774311735,5.34428264149181,5.14231501779659,5.04051279905164
"4134","K13205",5.2419298506137,4.89168102178113,4.80762406048475,5.07749644615965,4.94407982466233,4.98402378023174,5.01350401626013,4.96951636973074,4.98807956038093
"4135","K18273",6.17126103908249,6.14455808008041,6.01576111355785,5.94306441951357,6.09757912937147,5.81641521733941,6.0135336765931,6.17218183270582,5.95297902847706
"4136","K13681",5.09360591977132,5.36527962564404,5.34612319466355,5.39661273662904,5.33306455069923,5.45634757654023,5.34428264149181,5.32889746381604,5.54059239432406
"4137","K01900",9.80424551865398,10.0411084290484,10.0179303111204,10.0444343501802,10.0790192649214,9.99627925737719,9.78702390114155,9.90107276390194,9.79003989614637
"4138","K20404",6.07518819680517,6.33439848965086,6.46315036897825,6.38053385468036,6.24073397083799,6.34611819634331,6.37300052917515,6.47063645626425,6.30908925806578
"4139","K01315",6.53666612874852,6.7533896578614,6.80187996651942,6.77139101285746,6.92144067355834,6.71349521827596,6.83241147022342,6.92622821491928,6.70063461952286
"4140","K13989",6.34552043963727,6.11023483846629,6.25733923245012,6.33192079715078,6.4385836294989,6.46390717674721,6.19632117975645,6.42510591804017,6.24891123366784
