"","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K14790",6.37002395672128,6.14598086720868,6.84458142895629,6.14443533056119,6.4585877281086,6.0157590113021,6.10731692640027,6.06955144842487,5.92854868748811
"K00758",6.31253056314035,6.4149088037513,5.88268873040026,6.64782658560236,6.66528910651089,6.62585458437909,6.05426873687063,6.29882509433536,6.09410915548194
"K03138",6.31253056314035,6.4149088037513,5.88268873040026,6.64782658560236,6.66528910651089,6.62585458437909,6.05426873687063,6.29882509433536,6.09410915548194
"K07152",6.31253056314035,6.4149088037513,5.88268873040026,6.64782658560236,6.66528910651089,6.62585458437909,6.05426873687063,6.29882509433536,6.09410915548194
"K14763",7.44281208474523,7.37460467422935,7.72795536099753,7.53929948306417,8.00153244483912,7.6777292974288,8.1177167820797,8.13752134065217,7.84055897999977
"K14861",7.90174381563815,7.88637420908714,7.12586059278237,7.20292808298426,7.51042463053746,7.38769978410813,7.50775153237239,7.66490937237637,7.7964642790271
"K08204",6.02883096338278,5.73029606307583,5.45456057440311,5.89440029985806,5.88431720182372,5.54390486792041,6.25436994929099,6.19964819525486,6.1322952618045
"K08205",6.02883096338278,5.73029606307583,5.45456057440311,5.89440029985806,5.88431720182372,5.54390486792041,6.25436994929099,6.19964819525486,6.1322952618045
"K19861",4.9045687245279,4.89529336619183,5.1831251469365,5.34149984035977,5.29827121932187,5.42023574139853,5.51689988862175,5.53210672898338,5.73689857651799
"K21760",6.35113761206387,6.52107286500909,6.11887291587944,6.30413764953225,6.40599029774708,6.00005671384662,6.84346619735663,6.81491197276627,6.51971211176284
"K15745",8.06069142686903,8.05282269700071,7.73624460924626,7.55284042615774,7.54220925262226,7.43216935024564,7.95776387787105,8.05361098342737,8.21133333495291
"K00912",5.81577449675631,6.11851256346113,6.03547028413122,5.98345427227477,5.98763345888716,5.67581737162138,6.02688048257726,5.97470820827897,6.70260517064275
"K09490",12.8629279863414,12.6452097034729,13.1452214487242,13.2134566533028,13.3896274305069,13.2596803615247,12.5804080352485,12.8231590521279,12.9600262050135
"K08776",6.92949716022885,7.05462535526077,6.31784968898197,6.55435128309436,6.49253252692356,6.68329715455396,6.79792526602475,6.99739305526075,6.30782987201892
"K08331",5.51841003672921,6.06172271301535,5.74483833867861,5.66589954606639,6.12807248921523,6.14887978093588,6.38643119777511,6.04650747879363,5.73689857651799
"K09520",7.36320510715256,7.06838427478633,7.00627583193976,7.16352042553112,7.59617310449292,7.40454039652763,7.77761102875979,7.5846547825104,7.71585343299643
"K03168",8.91927747378236,9.09756753666823,9.00834388093571,8.56600271700264,9.04042757257399,9.04050971860135,8.63539694304502,8.28271498779958,8.64214306878712
"K07011",6.07680408095722,5.6914522523291,6.11887291587944,6.27885067635336,6.38798372507695,6.09144118713685,6.42766217530713,6.55808923713503,6.57454160769106
"K09361",6.02883096338278,6.19920674927696,5.94609873119437,6.05643384477276,5.80059684136544,5.67581737162138,6.48720418556787,6.39099693336517,6.40281374203074
"K22139",8.15761861930359,8.15178971936109,8.22779719802246,8.4249833706676,8.21768378681137,8.3511379311465,7.63216413909119,7.67198532475463,7.92485779987113
"K00480",6.74382452255149,6.72876598607698,5.81576391208731,6.43890282632809,6.42375528631845,6.36789494925277,6.50647539447441,6.39099693336517,6.16936882550303
"K18643",6.21069798958708,5.93976897324573,5.50104928718999,5.87108079038335,6.25452063894641,6.04658222908228,6.50647539447441,6.13626070564404,5.97205637093832
"K18753",8.09373535995749,7.96113687756332,7.80875312066355,7.99270222504596,8.12155631235854,8.11089987432688,8.76445198366946,8.41454554574969,8.07985294070054
"K02368",7.03690231917609,6.92425564834957,6.67904011258087,7.18555024450897,7.18669754075825,7.26382185353439,7.46053139095183,7.51543826092487,7.49864415471352
"K16190",6.07680408095722,6.22501515808004,5.45456057440311,6.0665201500987,5.91097724780778,5.93517417464883,5.6762341279122,6.15774063394083,5.50699608330568
"K17435",6.07680408095722,6.19920674927696,6.38526447999476,6.84565886358469,6.66528910651089,6.70191768306128,6.29988729152809,6.09218093961559,6.57454160769106
"K07977",9.06482993836114,9.47563806634392,8.78018917282681,9.06646988285685,9.26958045013443,9.0808371323487,8.68923029488384,8.62141936419524,8.81713999810922
"K07908",8.56698669890368,8.72269169133252,8.19220522345978,8.16276328444006,8.00721227967322,8.06604449942776,8.08092788528271,7.94711729178216,7.89382642087558
"K16666",4.9045687245279,4.67528254057127,5.0473390372453,5.02735123873116,4.96800864765658,5.27955518817207,5.59943025647818,5.41799180452198,5.02130679844054
"K01307",5.26182663987919,4.89529336619183,5.30094685988732,5.30267528041365,4.81798836337156,5.07715082476454,5.55894518896101,5.19329223190541,5.68367528529582
"K15699",5.26182663987919,4.89529336619183,5.30094685988732,5.30267528041365,4.81798836337156,5.07715082476454,5.55894518896101,5.19329223190541,5.68367528529582
"K04415",8.77097561786573,8.88070411294903,8.11191374716448,8.3048414178155,8.38818164890672,8.35972975145764,8.83225871606042,8.80542499291508,8.68492197743353
"K20603",8.77097561786573,8.88070411294903,8.11191374716448,8.3048414178155,8.38818164890672,8.35972975145764,8.83225871606042,8.80542499291508,8.68492197743353
"K14296",5.39821841893412,5.80429390870521,6.1971312256269,5.92855969359083,5.64625467089978,5.77511373530296,6.32206405938347,5.87195903838904,6.05473329265943
"K20353",8.48234994288479,8.6298212630698,8.62005773917903,7.7996316003501,8.00721227967322,8.14447196449938,8.20005001552263,8.37625270504669,8.16018078563373
"K03022",6.44298018597346,6.72876598607698,6.96401632994986,6.62833288089257,6.58949357033744,6.73841284805823,6.08107178873294,6.15774063394083,6.54740633541965
"K03770",5.39821841893412,5.06129174442032,5.66930404537611,5.41487294051841,4.96800864765658,5.67581737162138,5.09717438578368,5.69913463836962,5.29493496786928
"K02874",6.7295495609499,6.4796154293782,6.24677412368665,6.7170021175759,6.83164505300751,6.86721301898639,6.5809056955972,6.47715645156992,6.01408136190872
"K02965",6.42511420646295,6.52107286500909,6.76431110900924,6.38506779880947,6.17162036873266,6.4814835296234,6.10731692640027,5.87195903838904,6.65282110496417
