"","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"K00211",6.33869895968721,6.32352521328697,6.89024773438219,6.88798214574345,7.10498028332595
"K15227",6.33869895968721,6.32352521328697,6.89024773438219,6.88798214574345,7.10498028332595
"K01669",5.94549975039002,6.04406221515594,5.36296868083951,5.22920019898273,5.5639867583281
"K21922",5.65425898106029,5.53269515006796,6.19538227462993,6.11891842852987,6.34829835273524
"K04417",6.0994139279437,5.42313308075694,5.18105281432452,5.3014560031656,5.52187500354697
"K04418",6.0994139279437,5.42313308075694,5.18105281432452,5.3014560031656,5.52187500354697
"K04419",6.0994139279437,5.42313308075694,5.18105281432452,5.3014560031656,5.52187500354697
"K17534",6.0994139279437,5.42313308075694,5.18105281432452,5.3014560031656,5.52187500354697
"K13240",7.13424058732,7.60251023199967,8.00657219346977,7.9420273499999,7.4875357627369
"K13836",5.84377302300943,5.81342798766347,5.13064407973324,5.3694975508816,5.11800218345946
"K20278",7.17508482587727,7.25855263250731,7.7316461840259,7.9420273499999,7.18262777056895
"K05700",4.69830499975328,5.59404529440202,5.18105281432452,5.26589309955018,4.84316232334717
"K11126",6.36287084785718,6.85962207565407,5.92815891056828,6.1003872786681,6.20387015969532
"K09567",5.02588888990416,5.30260791008198,5.07781919944062,5.33596750755048,4.45248931077015
"K07124",5.80802947019962,5.67144029738155,5.02227611752237,5.33596750755048,5.05575971112334
"K21883",5.80802947019962,5.67144029738155,5.02227611752237,5.33596750755048,5.05575971112334
"K14645",6.68237400024149,7.29348417261504,7.36265769421271,7.62154382431867,7.05074816711906
"K10703",6.38662498717957,7.06972365878418,7.29404717784192,7.15638096885919,7.10498028332595
"K05657",7.50856297241591,7.67915320261467,8.23720948755945,8.25740115179915,8.19506120127738
"K08956",8.3392967737908,8.03152586596012,8.61046184932334,8.73201975937905,7.91499684821744
"K14677",4.69830499975328,4.8746426569992,5.02227611752237,5.58128392298613,4.76072937099034
"K09020",5.94549975039002,5.69007223531672,5.27558102510326,5.33596750755048,5.05575971112334
"K03255",8.55445387390082,8.1875367185357,9.12710634436213,8.79184216635576,8.85920822207505
"K04818",6.98891255979526,6.64933720648405,6.45543090080591,6.58258922951781,6.01328647184852
"K12394",9.41842892407325,9.01479259630024,8.91958515246453,9.01379820644045,9.75394238663278
"K06236",5.77127482300213,5.92608386252419,5.59246583817259,5.87753156892309,5.05575971112334
"K10598",6.8269108451579,6.77924920651141,6.23875044720938,6.59565472958521,6.01328647184852
"K12831",6.87749538929926,6.43381422959974,5.98088867393638,6.17303227447475,6.12546776017723
"K03469",7.48716364934366,7.63908937921511,7.5080931345063,7.58322754084044,6.77709469406173
"K01315",6.18394607034569,6.49598872905919,6.89024773438219,7.09389915679256,6.72582795611069
"K03097",7.13424058732,7.3880429724316,6.72014391904112,6.98978386375858,7.63244054829165
"K19329",7.10634300845331,6.3463021064669,6.36115310880863,6.25868264284964,6.32526145791798
"K19511",7.94459519932446,7.99325375147714,8.59838306103179,8.72033778632882,8.19506120127738
"K15033",7.57090257658949,7.00779786003483,7.8656247289688,7.71897117939889,7.84545374762232
"K01012",6.12818334132767,6.24068201166586,6.83580170592157,6.82317501454708,6.81026090307522
"K00253",8.01340867721222,7.52641922353093,8.4268248508576,8.24521411594901,7.82953078731611
"K18162",5.3813189996722,5.32771432877915,4.50698671372368,4.93131202429753,5.05575971112334
"K02537",5.61273501759994,5.67144029738155,5.13064407973324,4.88091360239582,5.05575971112334
