"","add_backA","add_backB","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K01586",7.14371825592982,7.2676601517969,6.70873777008455,6.85028682091031,6.78489841693558,6.6333418539477,6.62301057637508,6.75260007084561
"K03020",6.05717708747176,6.26693363851698,6.36692146535146,6.49644296094033,6.55459766579742,6.03993194931504,5.97116326548915,5.97577467047256
"K01201",7.46217864087042,7.49604951121852,7.72052689731181,7.41007758006581,7.39999735297183,7.89443723819043,7.83218013060698,7.98996213671527
"K01829",6.95761099334516,6.95954360736369,6.91134238144075,7.04315329695036,6.96560265459914,7.53298292630584,7.31573535623491,7.36287873414283
"K03033",8.56613236111955,8.46163385317496,8.11619674720417,8.07678129035457,8.08809346043272,7.99849196975945,7.96075113407376,7.92138663831299
"K01079",7.39323781500632,7.19755339842796,7.12016670012111,7.15851655093044,7.17298087302088,6.78230464432354,6.74320668632136,6.81738484287677
"K02114",8.39411113111005,8.15275965719365,7.85988836683105,7.91940779069383,7.99354193062608,7.70940316836282,7.69014386627853,7.82109731639277
"K20028",8.26647865185546,8.31309889163561,8.16056436601818,7.91577795533448,7.83326002128707,8.23717419152879,8.29845867987977,8.58047164952898
"K05546",8.35284643039548,8.42353607953486,8.3844643992383,8.17655262737885,8.05445630472743,8.58843011493652,8.62054999885824,8.76984225629237
"K15711",7.16085408250492,7.11043776185776,7.42216374020953,7.31076603726755,7.1976124237777,7.58841133292096,7.57998093222938,7.76310323069424
"K19403",6.54948348720806,6.29534037085407,6.75886453304623,6.65841879956704,6.70113870669728,6.76476203118098,7.13982779044669,6.70719234626925
"K06224",5.80181051194612,6.2070309372222,6.2647214045397,5.9628164351083,5.83670851031269,6.0785940418408,6.20494825500365,6.50306632251136
"K11990",5.80181051194612,6.2070309372222,6.2647214045397,5.9628164351083,5.83670851031269,6.0785940418408,6.20494825500365,6.50306632251136
"K16669",5.80181051194612,6.2070309372222,6.2647214045397,5.9628164351083,5.83670851031269,6.0785940418408,6.20494825500365,6.50306632251136
"K11811",7.2900689179205,7.30130381438692,6.94649037068517,7.00702136301455,7.08713534050988,6.79957467318426,6.74320668632136,6.68375392740156
"K12623",6.45762838365472,6.53887496180441,6.59133561692865,6.74478122975539,6.73782335808218,6.3852968272155,6.32877456245044,6.02817804380053
"K03126",8.68126352319508,8.56574923008229,8.25804360411004,8.22677688160985,8.2888497377576,8.08897985582264,8.071648478531,8.03114564644451
"K01082",7.22712557747807,7.07112316089357,7.22356952329072,7.17779539198164,7.08713534050988,7.38319976170405,7.60838817506284,7.70250472767616
"K14408",6.78412943207522,6.23753024111399,6.22298865805425,6.06845323341132,6.21343640427785,6.61316742805664,6.29947675832045,6.35008987006822
"K01581",7.63789352145662,7.76242824013765,7.76495718705694,7.77014425809243,7.85312351373502,7.26113373970588,7.28005612071508,7.45326394488486
"K02728",9.30996477795665,9.52971618213353,9.48221562458943,9.4798885623699,9.47425187036505,9.03534427890608,8.98022244507574,9.04354681613177
"K03686",9.52731584195229,9.52304394834637,9.60367988808927,9.62035297831735,9.4314915143462,9.24040982069222,9.11666013430291,8.99939188724125
"K18533",7.42125537870682,7.24472320873713,7.06501265665093,6.96976018272534,7.09599557621308,7.48494070708231,7.61772374738975,7.46567702192168
"K06262",6.63362665277352,6.85240412855203,7.20132331856063,7.15202295111278,7.1478502006837,7.3180700293073,7.26793645235632,6.93679395408998
"K00521",6.35596340146056,6.40053869962201,6.22298865805425,6.21014783028581,6.3828845213209,6.67256270424703,6.90197201819333,6.53093107248925
"K14561",6.05717708747176,6.03303214721413,6.04733565380903,6.35793037412777,6.3828845213209,5.6562777466589,5.97116326548915,5.9185435315942
"K20398",6.63362665277352,6.34949212634262,6.16374834871023,6.19381096689738,6.33000529582737,6.18350090570538,5.92277970024205,5.9185435315942
"K08714",6.66022238482439,6.66030981501611,6.7670005411931,6.77210896311837,6.54017985398298,7.12597072700096,6.99680503169055,7.17590004256998
"K15113",7.0165287288756,6.86833235844494,7.25083331857977,7.16497622648687,7.06016022165129,7.4248578373759,7.57998093222938,7.34943352999547
"K02871",7.77199382260972,7.5427966846487,7.64304460044025,7.72906734462152,7.80290902747328,7.47511720712855,7.24334245889136,7.1913123228368
"K01148",6.83003563302519,6.73411067026759,7.03967112944006,6.97730671600561,7.01381695221273,7.23762157537227,7.31573535623491,7.40239117359666
"K13202",6.83003563302519,6.73411067026759,7.03967112944006,6.97730671600561,7.01381695221273,7.23762157537227,7.31573535623491,7.40239117359666
"K01485",6.05717708747176,6.14225316745098,6.46954860501957,6.35793037412777,6.17057436283257,6.48292594469663,6.68479685055748,6.6352711644771
"K01338",7.07267782275364,6.83624997207159,6.78309522999523,6.65841879956704,6.9153318341579,7.1388850630901,7.19266052966572,7.34943352999547
"K05516",5.80181051194612,5.94896658665952,5.90645180208292,5.88956245202448,5.87272023190627,6.3852968272155,6.26914480334658,6.31616799571501
"K17080",8.15845601640177,8.15275965719365,7.91316693832524,7.87893896571085,7.89200140352112,7.6063832776244,7.57037487434197,7.62816217803767
"K10686",7.66119623945135,7.90993134689489,8.03495712465299,8.02406007094315,7.96658673362819,7.52351407395239,7.59898652938883,7.47797309891739
"K01969",8.4859258638537,8.42835516077983,8.1849116436451,8.08965294398243,8.02433584740661,7.95781316744767,7.89419502200691,7.87671346525758
