"","ko_id","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"2498","K03262",9.61364584232231,9.3121489499954,9.41124297783357,9.01133485351079,9.29824101215362
"2499","K15148",4.62618933199912,5.13521286171646,4.95476509530233,5.00361471998943,4.68256538194776
"2500","K08266",5.28238434647821,5.41544911660977,4.95476509530233,4.91067669111484,5.05203436412845
"2501","K11087",5.16655295494437,5.52428959920399,5.06678671728081,4.95814477325265,5.27805127496567
"2502","K15503",8.7124274323732,8.7094264949926,8.24847026464941,8.33947904107412,8.39091299474689
"2503","K17796",6.8537959039412,6.37149243837478,6.56652874065298,6.3547506283435,6.35942912976739
"2504","K15371",8.38450354814711,8.05919608244851,8.07906624875811,7.80939879222966,7.92262267636105
"2505","K13336",4.96753229051424,4.76251873374632,4.42045262106673,4.91067669111484,4.68256538194776
"2506","K15100",8.75372498161382,8.53163670837408,8.79162451889355,8.87306824324494,8.34704056245509
"2507","K00588",7.14546415893096,6.62360993310165,6.73987681546381,6.73097966043476,6.62509533264135
"2508","K18466",6.95253978215644,6.82925771563771,6.61596871368477,6.91829642649727,6.44669568069034
"2509","K10685",6.76588822632998,7.02963606439643,6.72497252494787,6.60790814460655,6.44669568069034
"2510","K11295",7.19991725856756,7.50230275004692,7.04532679327162,7.02749397332255,6.96999512536204
"2511","K13111",5.57555028556207,6.04905171206448,5.71054050846043,5.83573001522197,5.51130896750917
"2512","K14972",6.13463477015197,6.24418966458024,5.88704664080197,5.81292625824734,5.74401945735001
"2513","K01802",10.2799654482411,9.9863497684313,10.1199736596901,9.92619586563081,9.70646421521663
"2514","K20293",6.19061580524785,6.2682267848503,5.88704664080197,5.88019387956967,5.77904836700286
"2515","K01008",5.16655295494437,5.13521286171646,5.118850391344,5.4428805373646,5.59365005445202
"2516","K08257",6.24439814487663,6.09037821534406,6.04287095145227,6.10142329390821,5.67101422119431
"2517","K02137",6.39418901738455,6.3150782165673,6.44387473001268,6.84414969489298,6.64358312829804
"2518","K03575",5.16655295494437,5.16360708284081,5.26230027835682,4.75372824621111,5.27805127496567
"2519","K18134",5.43759348076095,5.13521286171646,5.21640424711893,5.08930216618671,4.8464905387215
"2520","K03872",6.19061580524785,6.2073268484567,6.06717642900201,5.88019387956967,5.70802794235146
"2521","K11338",4.62618933199912,4.84077290412007,4.95476509530233,4.49430599338631,4.98776228308096
"2522","K14819",7.31532253162929,6.78059202984839,6.85375656072866,6.84414969489298,6.94054516270844
"2523","K07199",6.5077280064404,6.1694455975482,6.30934586964823,6.48707033992456,6.73253881021287
"2524","K01267",7.33974774355194,7.28835261013719,7.06902031720778,7.1288869229412,6.7998646541647
"2525","K20029",8.57580709753542,8.56757504499447,8.15805080605963,8.19907760783183,8.19444525486622
"2526","K00227",5.48527779249995,4.94802688947446,5.118850391344,5.00361471998943,5.05203436412845
"2527","K11662",6.67212977558581,6.19481581914396,6.16027138443357,6.48707033992456,6.33672624783352
"2528","K21946",6.46341768219593,5.88567209561034,6.24742585360925,6.24231344664789,6.31364437966052
"2529","K01424",5.16655295494437,4.63194490561005,4.82972244769657,5.08930216618671,4.91947261339932
"2530","K01895",9.29427927709201,9.31637693983942,9.77872689838727,9.66191794157141,9.5436969608156
"2531","K00102",4.96753229051424,5.04553964561123,5.39033238788853,5.31366801705313,4.91947261339932
"2532","K05641",5.10402685054191,5.3452504837182,5.26230027835682,5.5316691468628,4.98776228308096
"2533","K05642",5.10402685054191,5.3452504837182,5.26230027835682,5.5316691468628,4.98776228308096
"2534","K05644",5.10402685054191,5.3452504837182,5.26230027835682,5.5316691468628,4.98776228308096
"2535","K05646",5.10402685054191,5.3452504837182,5.26230027835682,5.5316691468628,4.98776228308096
"2536","K05647",5.10402685054191,5.3452504837182,5.26230027835682,5.5316691468628,4.98776228308096
"2537","K03010",8.58091625963418,8.3536798349009,8.57867497633455,8.54565279398827,8.93719820146199
"2538","K14800",5.81363975183613,5.71746728153304,5.46882136588332,5.5316691468628,5.27805127496567
"2539","K17458",5.53121790106434,5.32092659636721,5.64599459981377,5.90188080456722,5.55314573012023
"2540","K17459",5.53121790106434,5.32092659636721,5.64599459981377,5.90188080456722,5.55314573012023
"2541","K11341",5.33634239027148,5.32092659636721,5.21640424711893,4.86098055203478,5.37671692152797
"2542","K14998",4.62618933199912,4.84077290412007,5.16864973262454,5.00361471998943,4.76792658999639
"2543","K12267",6.78391340527488,6.73018636868655,6.92053397979979,6.71914629584782,7.22295523293223
"2544","K08846",4.51754979962815,4.87775604998184,4.95476509530233,5.04727931817133,4.98776228308096
"2545","K03178",8.96380901894494,9.24275834183878,9.46319020837414,9.4306035397606,9.42750178900287
"2546","K08864",7.23943288136089,7.26508281614135,6.89420008684089,7.2235304626508,6.83235946471563
"2547","K13237",5.77685230285336,5.4818806505845,5.57805172495794,5.2435182937729,5.70802794235146
"2548","K02902",5.61839489874792,5.21839966897571,5.50629021951148,5.34727041009464,5.74401945735001
"2549","K18663",7.30295134910324,7.07727246597098,7.40264328232092,7.50241241222849,7.01305378267247
"2550","K02350",9.19120238116032,9.14312885926883,8.805695338588,8.71717421775331,8.88065898851279
"2551","K11296",7.08884391024096,7.42577611010555,6.98430283620575,6.928578587543,6.92558736320647
"2552","K10573",6.78391340527488,6.38250455617452,6.72497252494787,6.91829642649727,6.54860364240415
"2553","K00806",5.22588640199925,5.4601273103727,5.3064976690926,4.95814477325265,5.46803794898329
"2554","K00738",7.73867792375385,7.3504541107455,7.39331665377511,7.2235304626508,7.23510051996252
"2555","K17768",7.73867792375385,7.3504541107455,7.39331665377511,7.2235304626508,7.23510051996252
