"","ko_id","add_backB","add_backC","pFe21_9A","pFe19A","pFe19B","pFe19C","pFe21_9B","pFe21_9C"
"646","K09630",4.67939144359418,5.11652712316249,6.0686367059627,6.71335727622465,5.98218071962694,5.90295624940012,4.63134561515831,4.52692005057997
"647","K07936",7.79963864622374,7.62255215359613,6.03226253425263,5.98952912009383,5.85997048091752,5.64055185892909,6.18448671810312,6.23955802346834
"648","K02735",7.21937839709002,6.97453916806256,6.10409935407052,5.66102614912064,5.28963753383967,5.71090515702192,5.09497957081484,5.09851719680494
"649","K18416",5.62562633732515,6.48471260982302,5.3892668160583,6.7519828798382,6.05814389357564,5.22247716438743,4.58394069275951,4.52692005057997
"650","K00963",5.16454484569158,5.07494619070844,4.11043691322429,3.38215086031603,4.27677957492111,2.71827869300912,4.42967754596581,4.44396251869936
"651","K03286",3.10993723233681,4.50067051101057,5.9565791457952,4.28124800268776,4.41098717140293,3.71512116794061,3.96178137522907,4.15295760113126
"652","K14847",3.39258178995175,3.65091956100718,5.1330731949057,4.49765623422506,4.83581398021254,5.22247716438743,5.58227372008066,5.45800983954352
"653","K03294",4.26320779470436,4.36070293789562,3.43430908694628,2.71827869300912,3.44203611551416,2.71827869300912,4.37353778282438,4.90498514764189
"654","K06631",6.58734209039521,6.84911640590237,4.98406919284981,7.10489485517529,6.62904075347903,6.25431811015953,6.06036678345182,4.93442809572294
"655","K01256",8.30632467304754,8.19942432481015,6.10409935407052,6.59080069743539,6.5786407318296,6.52294895497472,6.69153845825245,6.75624393228451
"656","K01881",9.03881458389927,9.7493031230775,9.68626395998836,10.4803320872028,10.5553772107912,9.814761926914,8.42444751600909,8.48347033325103
"657","K00343",4.26320779470436,3.48408359358466,5.3892668160583,5.04998940584271,5.08191133869069,4.66367253677779,3.54636247417706,3.32396004887419
"658","K14525",4.08327741262141,4.20171422164154,4.11043691322429,2.71827869300912,2.71827869300912,3.58571983713356,4.63134561515831,4.93442809572294
"659","K03431",2.71827869300912,3.90927887057034,5.06064982280389,5.11279067092663,3.9475271791568,3.22407973613999,4.1169137399137,4.15295760113126
"660","K15108",7.23350938004353,7.56580031632986,6.98855230696332,6.78959391438999,6.65358984964254,6.5100038412164,5.62713503058153,5.12400444432601
"661","K02608",9.53275238005323,9.06874334148319,7.71323657297982,7.77221616876152,8.97596376061004,8.64240306988261,7.20996801368027,7.88999563310395
"662","K03307",3.10993723233681,4.20171422164154,5.74740520987062,4.76386082981924,4.83581398021254,3.71512116794061,3.96178137522907,3.90483067108606
"663","K20877",5.43947115033582,5.53593105830571,5.83484466847325,4.98408240335332,5.28963753383967,5.22247716438743,3.54636247417706,3.90483067108606
"664","K01755",3.39258178995175,3.78928668096208,6.10409935407052,4.91471890617687,4.5315696938922,4.32077430308287,4.18676524857046,4.40023869461221
"665","K14447",3.10993723233681,4.43273137785463,5.65413812783622,3.84913674762801,4.27677957492111,3.22407973613999,3.87432977730989,4.52692005057997
"666","K02910",3.39258178995175,2.71827869300912,5.20179388778037,4.49765623422506,4.5315696938922,4.44618145982845,4.67702155983799,4.74686984378003
"667","K17433",3.39258178995175,2.71827869300912,5.20179388778037,4.49765623422506,4.5315696938922,4.44618145982845,4.67702155983799,4.74686984378003
"668","K02726",7.03798536383249,6.94140618578715,5.9565791457952,5.88832665397286,4.83581398021254,5.61628918567909,5.53591524562846,4.96322618755813
"669","K13125",5.48840887726077,6.87275171220898,7.58220166982932,7.93167917642883,7.36730663524167,7.12432888884168,6.92182344481658,6.01953658134286
"670","K03386",3.10993723233681,4.36070293789562,5.60505729772566,4.39438951853489,4.74227473687128,3.71512116794061,3.39743740340466,3.75276568910618
"671","K00502",4.26320779470436,4.11290802815795,2.71827869300912,2.71827869300912,2.71827869300912,2.71827869300912,4.42967754596581,2.71827869300912
"672","K01866",5.03677637604468,5.47434393125467,6.93086295498532,6.86197748250535,6.99806523201599,6.93445563488987,7.03266195562388,7.07952745317058
"673","K03217",7.64627478085269,8.02104822643235,6.89107269129971,6.14358667854749,6.60406284364462,6.45701648762492,8.00349277256337,8.16029649848688
"674","K08469",7.33746475193855,6.78826442143576,6.3887552341669,5.92287443547905,5.52501539798705,6.73790338617951,5.21929608165223,5.14901714786614
